image,label
8522515607.jpg,0.510448113208
107505789.jpg,0.5435
9967844514.jpg,0.6525480769230001
2376602512.jpg,0.507920353982
10077468576.jpg,0.7381521739129999
6474704871.jpg,0.5565625
9005613417.jpg,0.637995689655
8562649420.jpg,0.624555084746
5506212777.jpg,0.622295918367
2739038267.jpg,0.774934210526
2931922629.jpg,0.635862068966
9230996141.jpg,0.7510526315789999
4549109010.jpg,0.71125
10609356094.jpg,0.67
6825162524.jpg,0.280378151261
8552550792.jpg,0.46986111111100004
5847946773.jpg,0.43870535714299996
7189264298.jpg,0.798256302521
10911095273.jpg,0.713805309735
8705060352.jpg,0.487631578947
468518360.jpg,0.64880733945
10721124556.jpg,0.584579646018
7163084628.jpg,0.81017699115
6942738260.jpg,0.643947368421
4905609957.jpg,0.47171052631599997
5990072932.jpg,0.617820512821
8877114673.jpg,0.364679487179
5034975248.jpg,0.645408653846
6376701103.jpg,0.607948717949
6147638271.jpg,0.7654861111110001
4524543534.jpg,0.618163716814
8668692139.jpg,0.41725
8041987489.jpg,0.434181415929
7295363820.jpg,0.600441176471
4495910719.jpg,0.45466101694899996
5967167167.jpg,0.6549347826090001
5290105717.jpg,0.17351351351400002
4583125138.jpg,0.711608695652
9767373513.jpg,0.36497706422
9034707954.jpg,0.572302631579
7878410170.jpg,0.418913043478
10241895785.jpg,0.6707366071430001
1429848565.jpg,0.6783256880730001
8250498441.jpg,0.608125
4456369143.jpg,0.6238559322030001
6864569694.jpg,0.658851351351
10265315316.jpg,0.629513888889
5667464271.jpg,0.7411764705880001
7822391242.jpg,0.600441176471
4358436337.jpg,0.6492016806719999
5517472829.jpg,0.757394067797
6419135601.jpg,0.6335625
8132808180.jpg,0.57285046729
5354741393.jpg,0.592847222222
6543370923.jpg,0.649557522124
8214901795.jpg,0.673891509434
2952066894.jpg,0.7027027027030001
3560022258.jpg,0.387683486239
11006895124.jpg,0.6625675675680001
9351387644.jpg,0.844491150442
6142593562.jpg,0.525804347826
2300197705.jpg,0.594736842105
4750416133.jpg,0.656016949153
120328351.jpg,0.39225
6431960911.jpg,0.548142201835
7908624656.jpg,0.821768867925
7331539774.jpg,0.744539473684
5449529114.jpg,0.723804347826
8608282741.jpg,0.7525
9553679433.jpg,0.703883928571
8212033390.jpg,0.700581896552
5700146083.jpg,0.730550458716
10071864114.jpg,0.719090909091
139999071.jpg,0.2568125
5859309993.jpg,0.719358974359
226477214.jpg,0.38575630252099996
4668832694.jpg,0.681213592233
7367414528.jpg,0.524324324324
7795515978.jpg,0.550833333333
79475896.jpg,0.4286875
8311563943.jpg,0.707905405405
1500316824.jpg,0.720955882353
3722476330.jpg,0.625905172414
3606644176.jpg,0.6727500000000001
11245083256.jpg,0.61775
8108709244.jpg,0.710114678899
8650937010.jpg,0.60296875
2428050358.jpg,0.574413793103
6175384810.jpg,0.670793269231
3149433848.jpg,0.154736842105
2973164436.jpg,0.32565217391300005
9406497605.jpg,0.740088495575
31490353.jpg,0.6180818965520001
10079711433.jpg,0.590625
10196228605.jpg,0.638040540541
4278181256.jpg,0.451913043478
8455329161.jpg,0.796129807692
8465545790.jpg,0.624509345794
2365109175.jpg,0.518871681416
4953733701.jpg,0.8231144067799999
7265767786.jpg,0.765845588235
1429120335.jpg,0.595675675676
8346245093.jpg,0.497361111111
11520125355.jpg,0.657477678571
5125398207.jpg,0.672989130435
7092360919.jpg,0.505
3839953318.jpg,0.57281779661
7057320569.jpg,0.701544117647
2477552466.jpg,0.22108108108100002
3026852045.jpg,0.706238317757
8268523027.jpg,0.42986607142899996
10883456586.jpg,0.288793103448
4373225530.jpg,0.6875
6892058753.jpg,0.6885625000000001
9442161547.jpg,0.716144067797
8183741020.jpg,0.666283783784
8317893385.jpg,0.7518125000000001
5912070942.jpg,0.692706422018
7354160932.jpg,0.6783256880730001
