image,label,mean_score,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
53,1,7.104651162790699,0.011627906976744106,0.03488372093023252,0.03488372093023252,0.03488372093023252,0.11627906976744187,0.11627906976744187,0.1511627906976745,0.23255813953488383,0.09302325581395346,0.17441860465116288
71,1,8.04494382022472,0.0,0.011235955056179706,0.022471910112359512,0.0,0.08988764044943824,0.056179775280898826,0.11235955056179775,0.2471910112359551,0.20224719101123598,0.2584269662921349
101,0,3.41509433962264,0.11320754716981137,0.2547169811320756,0.20754716981132085,0.20754716981132085,0.07547169811320756,0.08490566037735846,0.018867924528301813,0.018867924528301813,0.018867924528301813,0.0
106,1,8.6,0.0,0.0,0.0,0.0,0.018181818181818105,0.04545454545454541,0.11818181818181812,0.2545454545454546,0.26363636363636367,0.30000000000000004
132,1,7.118181818181819,0.009090909090909005,0.0,0.03636363636363632,0.027272727272727212,0.10909090909090906,0.2181818181818182,0.1818181818181819,0.1545454545454546,0.10909090909090906,0.1545454545454546
150,1,8.51744186046512,0.0,0.0,0.005813953488372003,0.005813953488372003,0.04069767441860462,0.06395348837209303,0.11046511627906976,0.18023255813953487,0.2558139534883722,0.33720930232558155
154,0,3.5576923076923075,0.11538461538461532,0.20512820512820515,0.21153846153846156,0.19230769230769235,0.10897435897435893,0.08974358974358972,0.07051282051282051,0.006410256410256401,0.0,0.0
162,1,8.098765432098766,0.018518518518518507,0.006172839506172803,0.030864197530864113,0.012345679012345605,0.018518518518518507,0.06790123456790123,0.15432098765432095,0.17283950617283958,0.22222222222222232,0.2962962962962964
225,1,7.132075471698114,0.0062893081761006015,0.012578616352201203,0.025157232704402507,0.05660377358490561,0.06918238993710692,0.13836477987421383,0.20754716981132076,0.25786163522012584,0.15723270440251572,0.06918238993710692
227,0,2.910828025477706,0.2292993630573249,0.2547770700636943,0.21019108280254778,0.12738853503184716,0.09554140127388534,0.05095541401273882,0.019108280254777007,0.006369426751592302,0.0,0.006369426751592302
268,0,3.0774193548387094,0.20000000000000007,0.24516129032258066,0.20000000000000007,0.14838709677419354,0.09677419354838712,0.07741935483870961,0.012903225806451604,0.019354838709677403,0.0,0.0
269,0,3.0714285714285703,0.2142857142857143,0.2142857142857143,0.2207792207792208,0.14935064935064937,0.11688311688311687,0.03896103896103892,0.012987012987012906,0.03246753246753242,0.0,0.0
283,1,7.0392156862745106,0.006535947712418302,0.032679738562091505,0.032679738562091505,0.04575163398692811,0.09150326797385622,0.12418300653594773,0.18300653594771243,0.22875816993464054,0.17647058823529413,0.07843137254901962
295,0,3.856164383561643,0.12328767123287675,0.17808219178082196,0.16438356164383566,0.11643835616438354,0.20547945205479456,0.11643835616438354,0.07534246575342463,0.020547945205479406,0.0,0.0
303,0,3.706293706293705,0.10489510489510495,0.1818181818181819,0.19580419580419592,0.2237762237762238,0.12587412587412597,0.09790209790209796,0.04195804195804192,0.013986013986013906,0.006993006993006904,0.006993006993006904
308,0,3.664429530201341,0.13422818791946312,0.18791946308724836,0.20134228187919465,0.16107382550335572,0.16107382550335572,0.08053691275167782,0.03355704697986571,0.006711409395973101,0.006711409395973101,0.026845637583892606
314,0,3.4537815126050417,0.1596638655462185,0.20168067226890765,0.24369747899159677,0.11764705882352948,0.10084033613445377,0.10084033613445377,0.03361344537815122,0.03361344537815122,0.008403361344537804,0.0
355,0,3.5641025641025634,0.2136752136752137,0.23076923076923078,0.10256410256410253,0.11111111111111115,0.10256410256410253,0.10256410256410253,0.09401709401709403,0.034188034188034115,0.008547008547008503,0.0
376,1,7.449152542372882,0.025423728813559306,0.01694915254237281,0.0,0.059322033898305024,0.042372881355932215,0.09322033898305082,0.19491525423728814,0.24576271186440687,0.16949152542372886,0.15254237288135594
398,0,3.974789915966387,0.08403361344537814,0.11764705882352945,0.22689075630252112,0.21008403361344538,0.18487394957983197,0.058823529411764726,0.08403361344537814,0.03361344537815121,0.0,0.0
406,0,3.915254237288135,0.04237288135593221,0.16101694915254233,0.26271186440677974,0.22033898305084743,0.12711864406779663,0.10169491525423731,0.050847457627118606,0.025423728813559303,0.008474576271186402,0.0
412,0,3.8655462184873937,0.15966386554621848,0.13445378151260506,0.12605042016806725,0.21008403361344538,0.17647058823529418,0.10084033613445374,0.042016806722689024,0.03361344537815121,0.0,0.016806722689075605
414,0,3.61344537815126,0.09243697478991592,0.16806722689075632,0.21008403361344535,0.22689075630252106,0.20168067226890757,0.06722689075630252,0.033613445378151204,0.0,0.0,0.0
417,0,3.900662251655629,0.05960264900662252,0.13245033112582785,0.2516556291390729,0.22516556291390738,0.18543046357615894,0.05960264900662252,0.05960264900662252,0.019867549668874107,0.006622516556291302,0.0
449,1,7.05921052631579,0.006578947368421003,0.006578947368421003,0.03289473684210521,0.06578947368421052,0.05921052631578943,0.17105263157894737,0.23026315789473692,0.1842105263157895,0.16447368421052638,0.07894736842105264
488,1,7.258278145695365,0.0,0.01986754966887411,0.033112582781456915,0.03973509933774832,0.12582781456953646,0.08609271523178805,0.1920529801324504,0.1986754966887418,0.16556291390728478,0.13907284768211925
496,0,3.751677852348992,0.17449664429530207,0.13422818791946314,0.2214765100671142,0.16107382550335575,0.11409395973154364,0.06711409395973153,0.04697986577181201,0.04697986577181201,0.013422818791946305,0.020134228187919406
521,1,7.640718562874253,0.0,0.0,0.0,0.029940119760479014,0.06586826347305393,0.15568862275449105,0.20359281437125748,0.20958083832335328,0.19760479041916168,0.13772455089820365
575,0,3.658536585365854,0.060975609756097525,0.17073170731707318,0.2500000000000001,0.2560975609756098,0.1585365853658537,0.07317073170731703,0.012195121951219506,0.0,0.018292682926829208,0.0
594,0,3.059880239520957,0.29341317365269465,0.16766467065868262,0.22754491017964076,0.10179640718562873,0.08383233532934131,0.029940119760479007,0.04191616766467061,0.03592814371257481,0.017964071856287404,0.0
616,0,2.406060606060606,0.37575757575757585,0.24242424242424251,0.1696969696969698,0.10303030303030304,0.07272727272727272,0.012121212121212106,0.012121212121212106,0.0060606060606060025,0.0060606060606060025,0.0
624,0,3.726190476190476,0.27976190476190477,0.13095238095238093,0.14880952380952384,0.07142857142857141,0.09523809523809523,0.11309523809523812,0.059523809523809514,0.059523809523809514,0.011904761904761904,0.029761904761904708
684,1,7.343915343915346,0.010582010582010507,0.005291005291005203,0.01587301587301581,0.04761904761904764,0.07407407407407406,0.11640211640211648,0.20105820105820113,0.24338624338624346,0.19576719576719584,0.08994708994708996
729,0,2.3138297872340416,0.38297872340425543,0.24468085106382975,0.17021276595744683,0.12765957446808512,0.031914893617021205,0.037234042553191404,0.0053191489361702005,0.0,0.0,0.0
735,0,3.8162162162162168,0.08108108108108104,0.15135135135135136,0.1567567567567568,0.30270270270270283,0.16756756756756758,0.07567567567567562,0.05945945945945943,0.005405405405405402,0.0,0.0
738,1,7.754010695187166,0.0,0.0,0.0106951871657754,0.0320855614973262,0.053475935828877,0.0962566844919786,0.1978609625668449,0.2780748663101604,0.1764705882352941,0.1550802139037433
759,1,7.581151832460733,0.0,0.005235602094240802,0.005235602094240802,0.020942408376963307,0.08900523560209422,0.08900523560209422,0.23036649214659688,0.261780104712042,0.19895287958115185,0.09947643979057592
775,0,3.6210526315789475,0.11052631578947365,0.16842105263157897,0.2157894736842106,0.1842105263157895,0.17368421052631589,0.12105263157894736,0.02105263157894731,0.0,0.005263157894736803,0.0
